#;Company;Symbol;Weight;Price;Chg;% Chg;Date
51;Adobe Inc.;ADBE;0.34%;381.08;6.44;(1.72%);2025-05-02
52;Progressive Corporation;PGR;0.34%;281.29;3.63;(1.31%);2025-05-02
53;Thermo Fisher Scientific, Inc.;TMO;0.34%;426.20;6.31;(1.50%);2025-05-02
54;S&p Global Inc.;SPGI;0.33%;507.88;8.95;(1.79%);2025-05-02
55;Advanced Micro Devices;AMD;0.33%;99.10;2.45;(2.53%);2025-05-02
56;Amgen Inc;AMGN;0.32%;277.35;-6.43;(-2.27%);2025-05-02
57;Boston Scientific Corp.;BSX;0.32%;104.90;1.70;(1.65%);2025-05-02
58;Caterpillar Inc.;CAT;0.32%;324.55;10.59;(3.37%);2025-05-02
59;Qualcomm Inc;QCOM;0.31%;140.43;5.22;(3.86%);2025-05-02
60;American Express Company;AXP;0.31%;277.03;8.49;(3.16%);2025-05-02
61;Morgan Stanley;MS;0.30%;119.90;3.14;(2.69%);2025-05-02
62;Texas Instruments Incorporated;TXN;0.30%;165.27;7.01;(4.43%);2025-05-02
63;Tjx Companies, Inc.;TJX;0.30%;129.17;1.53;(1.20%);2025-05-02
64;The Charles Schwab Corporation;SCHW;0.29%;82.98;1.47;(1.81%);2025-05-02
65;Boeing Company;BA;0.29%;186.83;3.94;(2.15%);2025-05-02
66;Honeywell International, Inc.;HON;0.29%;214.25;3.50;(1.66%);2025-05-02
67;Nextra Energy, Inc.;NEE;0.29%;66.80;0.75;(1.14%);2025-05-02
68;Pfizer Inc.;PFE;0.29%;24.21;0.27;(1.15%);2025-05-02
69;Blackrock, Inc.;BLK;0.28%;928.43;12.29;(1.34%);2025-05-02
70;Union Pacific Corp.;UNP;0.27%;218.88;4.80;(2.24%);2025-05-02
71;Gilead Sciences Inc;GILD;0.27%;103.12;-0.13;(-0.13%);2025-05-02
72;Stryker Corporation;SYK;0.27%;377.03;3.04;(0.81%);2025-05-02
73;Vertex Pharmaceuticals Inc;VRTX;0.27%;499.49;0.63;(0.13%);2025-05-02
74;Citigroup Inc.;C;0.27%;70.57;2.43;(3.57%);2025-05-02
75;Comcast Corp;CMCSA;0.27%;34.41;0.59;(1.73%);2025-05-02
76;Danaher Corporation;DHR;0.26%;199.80;3.09;(1.57%);2025-05-02
77;Lowe's Companies Inc.;LOW;0.26%;226.43;4.11;(1.85%);2025-05-02
78;Palo Alto Networks, Inc.;PANW;0.26%;188.08;1.81;(0.97%);2025-05-02
79;Deere & Company;DE;0.26%;483.80;3.78;(0.79%);2025-05-02
80;Automatic Data Processing;ADP;0.26%;303.09;4.40;(1.47%);2025-05-02
81;Applied Materials Inc;AMAT;0.25%;155.83;6.86;(4.61%);2025-05-02
82;Eaton Corporation, Plcs;ETN;0.25%;302.40;0.74;(0.25%);2025-05-02
83;T-Mobile Us, Inc.;TMUS;0.25%;248.37;1.37;(0.55%);2025-05-02
84;Conocophillips;COP;0.24%;90.81;0.16;(0.18%);2025-05-02
85;Marsh & Mclennan Companies, Inc.;MMC;0.23%;225.57;1.57;(0.70%);2025-05-02
86;Medtronic Plc;MDT;0.23%;84.41;0.85;(1.02%);2025-05-02
87;Crowdstrike Holdings, Inc. Class A;CRWD;0.22%;441.34;9.46;(2.19%);2025-05-02
88;Chubb Limited;CB;0.22%;285.54;2.25;(0.79%);2025-05-02
89;Ge Vernova Inc.;GEV;0.22%;398.58;16.29;(4.26%);2025-05-02
90;American Tower Corporation;AMT;0.22%;223.33;-0.70;(-0.31%);2025-05-02
91;Fiserv, Inc.;FI;0.22%;183.60;0.58;(0.32%);2025-05-02
92;Bristol-Myers Squibb Co.;BMY;0.21%;50.17;0.55;(1.12%);2025-05-02
93;Altria Group, Inc.;MO;0.21%;59.32;0.01;(0.02%);2025-05-02
94;The Southern Company;SO;0.21%;90.89;-0.57;(-0.63%);2025-05-02
95;Lockheed Martin Corp.;LMT;0.21%;469.13;-8.60;(-1.80%);2025-05-02
96;Cme Group Inc.;CME;0.21%;280.33;3.22;(1.16%);2025-05-02
97;Intercontinental Exchange  Inc.;ICE;0.21%;173.73;2.89;(1.69%);2025-05-02
98;Blackstone Inc.;BX;0.21%;138.34;4.95;(3.71%);2025-05-02
99;Analog Devices, Inc.;ADI;0.20%;198.64;4.90;(2.53%);2025-05-02
100;Prologis, Inc.;PLD;0.20%;105.80;2.72;(2.64%);2025-05-02
101;Amphenol Corporation;APH;0.20%;80.60;1.97;(2.51%);2025-05-02
102;Elevance Health, Inc.;ELV;0.20%;409.54;1.23;(0.30%);2025-05-02
103;Duke Energy Corporation;DUK;0.20%;120.99;-0.34;(-0.28%);2025-05-02
104;Starbucks Corp;SBUX;0.20%;84.64;2.63;(3.21%);2025-05-02
105;Lam Research Corp;LRCX;0.19%;74.91;3.17;(4.43%);2025-05-02
106;The Cigna Group;CI;0.19%;332.34;-2.84;(-0.85%);2025-05-02
107;Welltower Inc.;WELL;0.19%;150.83;0.50;(0.33%);2025-05-02
108;Arista Networks;ANET;0.19%;91.74;3.90;(4.44%);2025-05-02
109;Kla Corporation;KLAC;0.19%;700.07;23.76;(3.51%);2025-05-02
110;Mckesson Corporation;MCK;0.19%;705.55;-1.22;(-0.17%);2025-05-02
111;Trane Technologies Plc;TT;0.19%;399.75;7.13;(1.82%);2025-05-02
112;Mondelez International, Inc. Class A;MDLZ;0.18%;67.57;-0.30;(-0.45%);2025-05-02
113;Cvs Health Corporation;CVS;0.18%;67.24;-2.21;(-3.19%);2025-05-02
114;Micron Technology, Inc.;MU;0.18%;81.26;3.49;(4.49%);2025-05-02
115;Intel Corp;INTC;0.18%;20.63;0.65;(3.27%);2025-05-02
116;Waste Management, Inc.;WM;0.18%;232.75;-0.65;(-0.28%);2025-05-02
117;Equinix, Inc. Reit;EQIX;0.18%;873.36;11.39;(1.32%);2025-05-02
118;Cadence Design Systems;CDNS;0.17%;307.28;7.55;(2.52%);2025-05-02
119;The Sherwin-Williams Company;SHW;0.17%;360.48;6.84;(1.93%);2025-05-02
120;O'reilly Automotive, Inc.;ORLY;0.17%;1,411.69;4.00;(0.28%);2025-05-02
121;Arthur J. Gallagher & Co.;AJG;0.17%;328.55;10.91;(3.43%);2025-05-02
122;Transdigm Group Incorporated;TDG;0.17%;1,452.99;18.79;(1.31%);2025-05-02
123;Parker-Hannifin Corporation;PH;0.17%;622.87;12.75;(2.09%);2025-05-02
124;Kkr & Co. Inc.;KKR;0.16%;117.55;3.06;(2.67%);2025-05-02
125;Aon Plc Class A;AON;0.16%;354.14;2.60;(0.74%);2025-05-02
126;Constellation Energy Corporation;CEG;0.16%;249.06;8.44;(3.51%);2025-05-02
127;3m Company;MMM;0.16%;142.14;4.24;(3.08%);2025-05-02
128;Colgate-Palmolive Company;CL;0.15%;90.32;-0.38;(-0.41%);2025-05-02
129;Motorola Solutions, Inc.;MSI;0.15%;404.73;-34.44;(-7.84%);2025-05-02
130;Cintas Corp;CTAS;0.15%;211.12;1.56;(0.75%);2025-05-02
131;Williams Companies Inc.;WMB;0.15%;59.63;0.83;(1.41%);2025-05-02
132;Synopsys Inc;SNPS;0.15%;471.79;12.43;(2.70%);2025-05-02
133;Moody's Corporation;MCO;0.15%;464.02;12.15;(2.69%);2025-05-02
134;Zoetis Inc.;ZTS;0.15%;157.38;1.73;(1.11%);2025-05-02
135;United Parcel Service, Inc. Class B;UPS;0.15%;97.36;2.76;(2.92%);2025-05-02
136;General Dynamics Corporation;GD;0.14%;273.34;1.83;(0.67%);2025-05-02
137;Capital One Financial;COF;0.14%;188.34;8.12;(4.51%);2025-05-02
138;Chipotle Mexican Grill, Inc.;CMG;0.14%;51.47;1.15;(2.29%);2025-05-02
139;Nike, Inc.;NKE;0.14%;58.06;1.30;(2.29%);2025-05-02
140;Doordash, Inc. Class A;DASH;0.14%;204.39;8.19;(4.18%);2025-05-02
141;Fortinet, Inc.;FTNT;0.14%;106.02;1.81;(1.73%);2025-05-02
142;Northrop Grumman Corp.;NOC;0.14%;489.30;2.63;(0.54%);2025-05-02
143;Paypal Holdings, Inc.;PYPL;0.14%;67.00;1.59;(2.43%);2025-05-02
144;Illinois Tool Works Inc.;ITW;0.13%;241.76;2.51;(1.05%);2025-05-02
145;Pnc Financial Services Group;PNC;0.13%;165.30;4.31;(2.68%);2025-05-02
146;Ecolab, Inc.;ECL;0.13%;255.76;3.14;(1.24%);2025-05-02
147;U.S. Bancorp;USB;0.13%;41.43;0.92;(2.28%);2025-05-02
148;Eog Resources, Inc.;EOG;0.13%;108.93;-2.76;(-2.47%);2025-05-02
149;Autozone, Inc.;AZO;0.13%;3,767.39;34.47;(0.92%);2025-05-02
150;Regeneron Pharmaceuticals Inc;REGN;0.13%;608.70;18.70;(3.17%);2025-05-02
151;Apollo Global Management, Inc.;APO;0.13%;136.79;-1.10;(-0.80%);2025-05-02
152;Hca Healthcare, Inc.;HCA;0.13%;347.62;4.58;(1.34%);2025-05-02
153;Air Products & Chemicals, Inc.;APD;0.13%;279.68;7.52;(2.76%);2025-05-02
154;Howmet Aerospace Inc.;HWM;0.13%;153.88;5.85;(3.95%);2025-05-02
155;Roper Technologies, Inc.;ROP;0.13%;567.31;9.72;(1.74%);2025-05-02
156;Emerson Electric Co.;EMR;0.13%;108.87;3.05;(2.89%);2025-05-02
157;The Travelers Companies, Inc.;TRV;0.12%;265.59;4.13;(1.58%);2025-05-02
158;Autodesk Inc;ADSK;0.12%;279.75;6.26;(2.29%);2025-05-02
159;Newmont Corporation;NEM;0.12%;51.39;-0.10;(-0.19%);2025-05-02
160;Bank of New York Mellon Corporation;BK;0.12%;82.03;1.12;(1.38%);2025-05-02
161;Johnson Controls International Plc;JCI;0.12%;88.94;1.69;(1.93%);2025-05-02
162;American Electric Power Company, Inc.;AEP;0.12%;107.36;-0.18;(-0.17%);2025-05-02
163;Hilton Worldwide Holdings Inc.;HLT;0.12%;239.52;5.43;(2.32%);2025-05-02
164;Carrier Global Corporation;CARR;0.12%;71.56;1.76;(2.52%);2025-05-02
165;Marriot International Class A;MAR;0.12%;248.83;4.88;(2.00%);2025-05-02
166;Royal Caribbean Group;RCL;0.11%;229.47;8.70;(3.94%);2025-05-02
167;Csx Corporation;CSX;0.11%;28.73;0.62;(2.19%);2025-05-02
168;Airbnb, Inc. Class A;ABNB;0.11%;125.05;1.04;(0.84%);2025-05-02
169;Copart Inc;CPRT;0.11%;61.36;0.86;(1.42%);2025-05-02
170;Workday, Inc. Class A;WDAY;0.11%;249.21;2.59;(1.05%);2025-05-02
171;Freeport-Mcmoran Inc.;FCX;0.11%;37.80;1.39;(3.82%);2025-05-02
172;The Allstate Corporation;ALL;0.11%;198.03;0.79;(0.40%);2025-05-02
173;Aflac Inc.;AFL;0.11%;105.20;1.68;(1.62%);2025-05-02
174;Digital Realty Trust, Inc.;DLR;0.11%;164.28;2.40;(1.48%);2025-05-02
175;Kinder Morgan, Inc.;KMI;0.11%;26.67;0.36;(1.39%);2025-05-02
176;Truist Financial Corporation;TFC;0.11%;39.36;0.76;(1.98%);2025-05-02
177;Republic Services Inc.;RSG;0.11%;249.24;-0.17;(-0.07%);2025-05-02
178;Oneok, Inc.;OKE;0.11%;82.30;1.36;(1.69%);2025-05-02
179;Cencora, Inc.;COR;0.11%;291.04;0.61;(0.21%);2025-05-02
180;Realty Income Corporation;O;0.11%;56.90;-0.27;(-0.48%);2025-05-02
181;Norfolk Southern Corp.;NSC;0.10%;224.99;3.22;(1.45%);2025-05-02
182;Fair Isaac Corporation;FICO;0.10%;2,060.09;58.41;(2.92%);2025-05-02
183;Simon Property Group, Inc.;SPG;0.10%;161.49;2.62;(1.65%);2025-05-02
184;Becton, Dickinson and Co.;BDX;0.10%;167.76;-1.78;(-1.05%);2025-05-02
185;The Kroger Co.;KR;0.10%;71.53;-0.66;(-0.91%);2025-05-02
186;American International Group, Inc.;AIG;0.10%;83.04;2.20;(2.72%);2025-05-02
187;Quanta Services, Inc.;PWR;0.10%;325.30;3.37;(1.05%);2025-05-02
188;Public Storage;PSA;0.10%;300.29;0.29;(0.10%);2025-05-02
189;Sempra;SRE;0.10%;75.61;0.91;(1.22%);2025-05-02
190;Schlumberger Limited;SLB;0.10%;34.54;0.80;(2.36%);2025-05-02
191;Paccar Inc;PCAR;0.10%;90.60;0.82;(0.91%);2025-05-02
192;Paychex Inc;PAYX;0.10%;149.69;3.07;(2.10%);2025-05-02
193;Exelon Corporation;EXC;0.10%;46.37;-0.23;(-0.50%);2025-05-02
194;Vistra Corp.;VST;0.10%;140.18;2.88;(2.09%);2025-05-02
195;W.W. Grainger, Inc.;GWW;0.10%;1,069.01;15.58;(1.48%);2025-05-02
196;Fedex Corporation;FDX;0.10%;220.34;10.28;(4.89%);2025-05-02
197;Fastenal Co;FAST;0.10%;82.04;1.33;(1.65%);2025-05-02
198;Nxp Semiconductors N.v.;NXPI;0.10%;188.84;7.00;(3.85%);2025-05-02
199;Crown Castle Inc.;CCI;0.10%;106.55;0.25;(0.23%);2025-05-02
200;Dominion Energy, Inc;D;0.10%;54.54;-0.29;(-0.53%);2025-05-02
201;Kenvue Inc.;KVUE;0.10%;23.83;-0.14;(-0.56%);2025-05-02
202;Discover Financial Services;DFS;0.10%;190.82;8.27;(4.53%);2025-05-02
203;Ross Stores Inc;ROST;0.10%;140.88;1.95;(1.40%);2025-05-02
204;Ameriprise Financial, Inc.;AMP;0.10%;484.51;13.98;(2.97%);2025-05-02
205;Axon Enterprise, Inc.;AXON;0.09%;632.64;11.54;(1.86%);2025-05-02
206;General Motors Company;GM;0.09%;45.48;0.43;(0.94%);2025-05-02
207;Edwards Lifesciences Corp;EW;0.09%;75.61;0.43;(0.57%);2025-05-02
208;Target Corporation;TGT;0.09%;97.74;1.77;(1.84%);2025-05-02
209;Metlife, Inc.;MET;0.09%;77.51;1.74;(2.30%);2025-05-02
210;Te Connectivity Plc;TEL;0.09%;149.74;3.38;(2.31%);2025-05-02
211;Marathon Petroleum Corporation;MPC;0.09%;140.33;2.61;(1.90%);2025-05-02
212;Kimberly-Clark Corp.;KMB;0.09%;129.76;-0.12;(-0.09%);2025-05-02
213;Phillips 66;PSX;0.09%;106.37;2.91;(2.81%);2025-05-02
214;Corteva, Inc.;CTVA;0.09%;62.34;0.32;(0.52%);2025-05-02
215;Msci, Inc.;MSCI;0.09%;553.80;7.73;(1.42%);2025-05-02
216;United Rentals, Inc.;URI;0.09%;669.04;28.44;(4.44%);2025-05-02
217;Monster Beverage Corporation;MNST;0.09%;59.49;-0.03;(-0.05%);2025-05-02
218;Verisk Analytics, Inc.;VRSK;0.09%;291.60;-2.91;(-0.99%);2025-05-02
219;Yum! Brands, Inc.;YUM;0.09%;148.90;0.30;(0.20%);2025-05-02
220;L3harris Technologies, Inc.;LHX;0.09%;218.66;-1.25;(-0.57%);2025-05-02
221;Fidelity National Information Services, Inc.;FIS;0.09%;78.58;0.87;(1.12%);2025-05-02
222;Keurig Dr Pepper Inc.;KDP;0.09%;34.51;0.47;(1.37%);2025-05-02
223;Cummins Inc.;CMI;0.09%;300.96;6.07;(2.06%);2025-05-02
224;Xcel Energy, Inc.;XEL;0.09%;70.36;-0.04;(-0.06%);2025-05-02
225;Ford Motor Company;F;0.08%;10.33;0.14;(1.42%);2025-05-02
226;Public Service Enterprise Group Incorporated;PEG;0.08%;79.45;0.79;(1.01%);2025-05-02
227;Consolidated Edison, Inc.;ED;0.08%;109.51;-3.05;(-2.71%);2025-05-02
228;Ametek, Inc.;AME;0.08%;170.33;3.06;(1.83%);2025-05-02
229;Idexx Laboratories Inc;IDXX;0.08%;469.85;-1.53;(-0.33%);2025-05-02
230;Take-Two Interactive Software Inc;TTWO;0.08%;222.10;-13.07;(-5.56%);2025-05-02
231;Otis Worldwide Corporation;OTIS;0.08%;97.37;0.98;(1.02%);2025-05-02
232;Cognizant Technology Solutions;CTSH;0.08%;76.82;1.58;(2.11%);2025-05-02
233;Charter Comm Inc Del Cl a;CHTR;0.08%;385.01;2.01;(0.52%);2025-05-02
234;Cbre Group, Inc.;CBRE;0.08%;127.05;3.53;(2.86%);2025-05-02
235;Pg&e Corporation;PCG;0.08%;16.90;0.22;(1.35%);2025-05-02
236;Valero Energy Corporation;VLO;0.08%;117.35;2.47;(2.15%);2025-05-02
237;Prudential Financial, Inc.;PRU;0.08%;103.36;1.63;(1.60%);2025-05-02
238;Hess Corporation;HES;0.08%;131.60;1.81;(1.39%);2025-05-02
239;Baker Hughes Company;BKR;0.08%;36.90;0.71;(1.96%);2025-05-02
240;Entergy Corporation;ETR;0.07%;83.96;0.59;(0.71%);2025-05-02
241;D.R. Horton Inc.;DHI;0.07%;126.81;1.26;(1.00%);2025-05-02
242;Targa Resources Corp.;TRGP;0.07%;161.15;-1.19;(-0.73%);2025-05-02
243;Cardinal Health, Inc.;CAH;0.07%;149.09;3.56;(2.44%);2025-05-02
244;The Hartford Insurance Group, Inc.;HIG;0.07%;124.98;3.14;(2.58%);2025-05-02
245;Vulcan Materials Company;VMC;0.07%;267.45;3.81;(1.45%);2025-05-02
246;Resmed Inc.;RMD;0.07%;239.26;2.76;(1.17%);2025-05-02
247;Corning Incorporated;GLW;0.07%;45.71;0.93;(2.09%);2025-05-02
248;Wec Energy Group, Inc.;WEC;0.07%;108.08;-0.72;(-0.66%);2025-05-02
249;Electronic Arts Inc;EA;0.07%;150.21;5.11;(3.52%);2025-05-02
250;Sysco Corporation;SYY;0.07%;70.34;0.19;(0.27%);2025-05-02
251;Arch Capital Group Ltd;ACGL;0.07%;91.91;2.23;(2.49%);2025-05-02
252;Vici Properties Inc.;VICI;0.07%;31.55;0.04;(0.11%);2025-05-02
253;Ebay Inc;EBAY;0.07%;67.86;0.19;(0.28%);2025-05-02
254;Equifax, Incorporated;EFX;0.07%;263.57;2.96;(1.14%);2025-05-02
255;Gartner, Inc.;IT;0.07%;428.68;9.08;(2.16%);2025-05-02
256;Costar Group Inc;CSGP;0.07%;77.60;1.02;(1.33%);2025-05-02
257;Martin Marietta Materials;MLM;0.07%;537.22;14.34;(2.74%);2025-05-02
258;Wabtec Inc.;WAB;0.07%;191.95;5.03;(2.69%);2025-05-02
259;Nasdaq, Inc.;NDAQ;0.07%;77.81;1.67;(2.19%);2025-05-02
260;Extra Space Storage, Inc.;EXR;0.07%;149.25;0.97;(0.65%);2025-05-02
261;Ge Healthcare Technologies Inc.;GEHC;0.07%;70.29;2.62;(3.88%);2025-05-02
262;Humana Inc.;HUM;0.06%;258.41;2.37;(0.93%);2025-05-02
263;Ingersoll Rand Inc.;IR;0.06%;76.67;0.46;(0.60%);2025-05-02
264;General Mills, Inc.;GIS;0.06%;55.30;-0.28;(-0.50%);2025-05-02
265;Willis Towers Watson Public Limited Companys;WTW;0.06%;311.37;5.01;(1.64%);2025-05-02
266;Agilent Technologies Inc.;A;0.06%;108.65;2.19;(2.06%);2025-05-02
267;Lululemon Athletica Inc.;LULU;0.06%;275.73;7.13;(2.66%);2025-05-02
268;Eqt Corp;EQT;0.06%;51.59;1.23;(2.45%);2025-05-02
269;Avalonbay Communities, Inc.;AVB;0.06%;211.68;2.68;(1.28%);2025-05-02
270;Centene Corporation;CNC;0.06%;59.91;0.50;(0.83%);2025-05-02
271;Xylem Inc;XYL;0.06%;124.91;4.16;(3.45%);2025-05-02
272;Constellation Brands, Inc.;STZ;0.06%;186.53;1.09;(0.59%);2025-05-02
273;Monolithic Power Systems, Inc.;MPWR;0.06%;635.62;33.99;(5.65%);2025-05-02
274;Garmin Ltd;GRMN;0.06%;192.50;5.72;(3.06%);2025-05-02
275;Dell Technologies Inc.;DELL;0.06%;94.27;2.32;(2.53%);2025-05-02
276;Ventas, Inc.;VTR;0.06%;66.54;1.00;(1.53%);2025-05-02
277;American Water Works Company, Inc;AWK;0.06%;146.16;-0.27;(-0.18%);2025-05-02
278;M&t Bank Corp.;MTB;0.06%;175.18;4.32;(2.53%);2025-05-02
279;Old Dominion Freight Line;ODFL;0.06%;159.22;8.66;(5.75%);2025-05-02
280;Dte Energy Company;DTE;0.06%;135.80;-0.04;(-0.03%);2025-05-02
281;Rockwell Automation, Inc.;ROK;0.06%;254.29;5.11;(2.05%);2025-05-02
282;Nucor Corporation;NUE;0.06%;122.61;2.89;(2.41%);2025-05-02
283;Ansys Inc;ANSS;0.06%;326.33;6.60;(2.06%);2025-05-02
284;Dupont De Nemours, Inc.;DD;0.06%;67.39;1.34;(2.02%);2025-05-02
285;Dexcom, Inc.;DXCM;0.06%;80.88;10.62;(15.11%);2025-05-02
286;Occidental Petroleum Corporation;OXY;0.06%;40.21;-0.23;(-0.56%);2025-05-02
287;Godaddy Inc;GDDY;0.06%;176.76;-15.60;(-8.11%);2025-05-02
288;Iron Mountain Inc.;IRM;0.06%;96.68;4.83;(5.26%);2025-05-02
289;Tractor Supply Co;TSCO;0.06%;50.70;0.35;(0.70%);2025-05-02
290;Broadridge Financial Solutions Inc;BR;0.06%;232.55;4.54;(1.99%);2025-05-02
291;Ppl Corporation;PPL;0.06%;36.01;-0.07;(-0.21%);2025-05-02
292;Delta Air Lines, Inc.;DAL;0.06%;44.58;3.08;(7.43%);2025-05-02
293;Ameren Corporation;AEE;0.06%;98.50;0.41;(0.42%);2025-05-02
294;Brown & Brown, Inc.;BRO;0.05%;110.28;1.26;(1.16%);2025-05-02
295;Sba Communications Corp;SBAC;0.05%;241.10;0.36;(0.15%);2025-05-02
296;State Street Corporation;STT;0.05%;90.55;1.82;(2.05%);2025-05-02
297;Atmos Energy Corporation;ATO;0.05%;160.41;0.23;(0.14%);2025-05-02
298;Iqvia Holdings Inc.;IQV;0.05%;153.98;2.88;(1.91%);2025-05-02
299;Lennar Corporation Class A;LEN;0.05%;109.91;1.72;(1.59%);2025-05-02
300;Ppg Industries, Inc.;PPG;0.05%;111.13;2.36;(2.17%);2025-05-02
301;Raymond James Financial, Inc.;RJF;0.05%;141.77;4.06;(2.95%);2025-05-02
302;Diamondback Energy, Inc.;FANG;0.05%;134.86;0.03;(0.03%);2025-05-02
303;Centerpoint Energy, Inc.;CNP;0.05%;38.82;0.22;(0.58%);2025-05-02
304;Keysight Technologies, Inc.;KEYS;0.05%;148.20;2.66;(1.83%);2025-05-02
305;The Kraft Heinz Company;KHC;0.05%;28.57;0.07;(0.23%);2025-05-02
306;The Hershey Company;HSY;0.05%;161.61;-5.52;(-3.30%);2025-05-02
307;Microchip Technology Inc;MCHP;0.05%;48.00;2.02;(4.39%);2025-05-02
308;Texas Pacific Land Corporation;TPL;0.05%;1,342.31;36.18;(2.77%);2025-05-02
309;Fifth Third Bancorp;FITB;0.05%;37.06;0.97;(2.69%);2025-05-02
310;Equity Residential;EQR;0.05%;71.58;0.96;(1.36%);2025-05-02
311;Hp Inc.;HPQ;0.05%;25.93;0.54;(2.11%);2025-05-02
312;Darden Restaurants, Inc.;DRI;0.05%;203.37;3.50;(1.75%);2025-05-02
313;Veralto Corporation;VLTO;0.05%;94.89;0.68;(0.72%);2025-05-02
314;Dover Corporation;DOV;0.05%;173.53;3.72;(2.19%);2025-05-02
315;Nrg Energy, Inc.;NRG;0.05%;117.19;3.05;(2.67%);2025-05-02
316;Cboe Global Markets, Inc.;CBOE;0.05%;226.93;5.72;(2.58%);2025-05-02
317;Tyler Technologies, Inc.;TYL;0.05%;548.71;9.11;(1.69%);2025-05-02
318;International Paper Co.;IP;0.05%;45.58;1.69;(3.84%);2025-05-02
